counter_id,category,oznaka_ceste,naziv,od,do,length_km,lat,lon
3804,DC,DC46,Ilača - zapad,ŽC4197,LC46033,2.3,,
3712,DC,DC46,Orolik,DC57,DC57,3.6,,
3711,DC,DC46,Srijemske Laze,ŽC4150,LC46027,2.8,45.231274,18.930889
3722,DC,DC46,Vinkovci obilaznica,DC518,DC55,6.8,45.266537,18.805874
3708,DC,DC46,Stari Mikanovci,ŽC4133,ŽC4166,4.7,45.288269,18.568903
3321,DC,DC45,Kutina - sjever,ŽC3163,LC33070,2.3,45.49182,16.78217
2115,DC,DC45,Kapelica,LC37138,ŽC3164,11.8,45.574551,16.890605
2128,DC,DC45,Garešnica,DC26,DC26,2.8,,
2209,DC,DC45,Hercegovac,ŽC3133,ŽC3135,2.0,,
2207,DC,DC45,Veliki Zdenci,DC28,ŽC3136,4.3,45.649075,17.076136
2404,DC,DC53,Beničanci,ŽC4046,ŽC4031,4.8,,
2417,DC,DC53,Donji Miholjac,ŽC4295,DC34,2.4,45.7607,18.18113
2401,DC,DC53,Donji Miholjac - sjever,GP,ŽC4295,3.9,45.771658,18.177166
4204,DC,DC52,Vrhovine,ŽC5130,LC59140,6.6,44.84918,15.40352
3515,DC,DC51,Oblakovac,DC38,LC41019,8.8,45.344128,17.490816
3524,DC,DC51,Eminovci,LC41033,DC38,3.2,45.35652,17.72953
3530,DC,DC51,Bektež,ŽC4117,LC41045,2.4,45.3957,17.92062
4905,DC,DC50,Sveti Rok,AC1,LC59116,1.5,44.380525,15.643391
4931,DC,DC50,Medak - jug,DC25,AC1,28.5,,
4225,DC,DC50,Gospić - jug,DC25,AC1,28.5,44.5303,15.40285
4219,DC,DC50,Perušić,ŽC5154,DC25,5.6,44.6374,15.39222
4205,DC,DC50,Ličko Lešće,ŽC5144,ŽC5147,2.3,44.802925,15.326257
4203,DC,DC50,Otočac (Brlog),AC1,ŽC5140,4.0,44.876752,15.204911
4202,DC,DC50,Brlog,LC59016,ŽC5127,2.9,,
3531,DC,DC49,Batrina - istok,ŽC4158,ŽC4244,2.2,45.17388,17.6803
3509,DC,DC49,Batrina - sjever,ŽC4185,ŽC4158,4.9,,
5503,DC,DC56,Progon - jug,DC219,ŽC6116,2.1,,
5413,DC,DC56,Kljake,ŽC6097,ŽC6099,4.6,43.778229,16.326668
5306,DC,DC56,Skradin,ŽC6075,DC33,8.7,43.81787,15.92582
5329,DC,DC56,Bulić,LC63151,ŽC6067,0.3,43.96572,15.7278
4916,DC,DC56,Raštević,LC63178,LC63203,0.8,44.037756,15.574965
4829,DC,DC56,Tromilja,DC502,ŽC6021,3.0,44.10965,15.40782
3719,DC,DC55,Županja,DC214,GP,3.3,45.049232,18.704336
3710,DC,DC55,Kunjevci,DC46,LC46023,12.0,45.218351,18.784327
3740,DC,DC55,Vinkovci istočna obilaznica,Zvonimirova,DC46,5.6,45.32197,18.83088
3706,DC,DC55,Nuštar,ŽC4134,Zvonimirova,0.9,45.327038,18.831188
4911,DC,DC54,Jasenice,LC63067,LC63029,2.7,44.2291,15.53543
3516,DC,DC53,Slavonski Brod,DC525,DC72,2.1,45.161405,17.994462
3607,DC,DC53,Rastušje,LC42038,DC514,4.8,45.197016,18.039159
3503,DC,DC53,Čaglin,LC41046,ŽC4124,2.7,45.36033,17.98658
3603,DC,DC53,Gradac Našički,LC44094,DC51,10.3,45.437257,18.035876
2409,DC,DC53,Velimirovac,ŽC4075,LC44044,0.24,45.524946,18.096453
6013,DC,DC62,Vrgorac - zapad,DC512,ŽC6208,6.3,,
6002,DC,DC62,Ravča - zapad,LC67199,DC512,1.0,,
6014,DC,DC62,Zagvozd,DC76,DC76,0.65,43.399583,17.050145
6012,DC,DC60,Vinjani Donji,DC76,LC67161,2.1,43.44265,17.23558
6001,DC,DC60,Grubine,LC67159,ŽC6186,2.6,43.430018,17.170582
5901,DC,DC60,Lovreć,LC67101,ŽC6173,0.9,43.492304,16.978946
5510,DC,DC60,Cista Velika,LC67093,ŽC6153,3.7,43.534104,16.871285
5505,DC,DC60,Trilj,ŽC6124,LC67083,1.6,,
5324,DC,DC59,Dubrava kod Tisna,LC65031,DC8,7.0,43.81707,15.70778
5319,DC,DC59,Čista Mala - jug,ŽC6069,DC27,6.0,43.884425,15.769527
5302,DC,DC59,Kistanje,ŽC6026,ŽC6090,9.8,,
5006,DC,DC59,Radučić - istok,LC65008,ŽC6054,6.0,,
5320,DC,DC58,Donje Polje,DC8,DC531,9.4,43.68305,15.9713
5326,DC,DC58,Bioci,luka,DC8,3.0,43.71928,15.90977
3805,DC,DC57,Lipovac - sjever,LC46051,LC46061,4.1,,
3802,DC,DC57,Negoslavci - jug,LC46013,ŽC4195,3.3,,
2755,DC,DC75,Marija na Krasu,ŽC5214,LC50005,3.1,45.45568,13.59323
1126,DC,DC74,Bednja,LC25105,LC25108,3.7,46.2228,15.99317
1125,DC,DC74,Žutnica,DC207,LC22013,8.1,,
3626,DC,DC72,Slavonski Brod 2,DC53,DC423,2.7,45.16285,18.00102
5918,DC,DC70,Omiš - sjever,DC8,ŽC6165,4.1,43.448631,16.692765
2306,DC,DC69,Voćin,ŽC4044,LC40069,0.6,45.620538,17.554256
2813,DC,DC66,Opatija - jug,ŽC5048,ŽC5051,1.6,45.319582,14.29321
2814,DC,DC66,Medveja,ŽC5082,ŽC5050,7.7,45.263049,14.264478
2805,DC,DC66,Plomin,LC50180,DC402,9.5,,
2815,DC,DC66,Stepčići,LC50185,DC64,5.5,45.146718,14.151278
2817,DC,DC66,Raša,DC421,ŽC5103,8.4,,
2747,DC,DC66,Kujići,LC50145,LC50153,4.2,45.0103,13.9823
3904,DC,DC66,Loborika,DC401,LC50170,2.1,,
2831,DC,DC64,Vozilići - sjever,DC500,DC66,1.4,45.16265,14.15197
2820,DC,DC64,Pićan,LC50086,LC50123,1.6,45.190907,14.077319
6101,DC,DC62,Nova Sela,AC10,LC69008,2.0,,
4003,DC,DC100,Ćunski,LC58115,ŽC5157,6.3,44.589655,14.407823
