year,category,oznaka_ceste,road_number,counter_id,naziv,smjer,pgdp,pldp,od,do,section_desc,length_km,brojenje,lat,lon,od_loc,do_loc,length_km_loc,naziv_loc
2024,DC,DC38,38,3401,Pakrac - istok,istok,1195.0,1216.0,ŽC4099,LC41017,Ž4099 - L41017,10.0,NAB,45.46265,17.23758,ŽC4099,LC41017,10.0,Pakrac - istok
2024,DC,DC38,38,3504,Pasikovci,,948.0,916.0,ŽC4113,LC41018,Ž4113 - L41018,1.3,NAB,45.388341,17.508602,ŽC4113,LC41018,1.3,Pasikovci
2024,DC,DC38,38,3532,Požega,,5704.0,5603.0,DC51,DC51,D51 - D51,10.0,NAB,45.33187,17.65082,DC51,DC51,10.0,Požega
2024,DC,DC38,38,3505,Kuzmica,,6394.0,6394.0,ŽC4116,LC41058,Ž4116 - L41058,1.6,NAB,45.327323,17.754796,ŽC4116,LC41058,1.6,Kuzmica
2024,DC,DC38,38,3507,Pleternica - istok,istok,1252.0,1263.0,LC41078,LC41063,L41078 - L41063,6.8,NAB,45.29465,17.82578,LC41078,LC41063,6.8,Pleternica - istok
2024,DC,DC38,38,3605,Levanjska Varoš,,615.0,760.0,ŽC4144,LC44120,Ž4144 - L44120,4.0,PAB,,,,,,
2024,DC,DC39,39,5511,Cista Provo,,1067.0,2372.0,LC67098,DC60,L67098 - D60,6.1,PAB,,,,,,
2024,DC,DC39,39,5908,Cista Provo - jug,jug,1683.0,3311.0,ŽC6171,ŽC6172,Ž6171 - Ž6172,3.6,NAB,43.473002,16.925039,ŽC6171,ŽC6172,3.6,Cista Provo - jug
2024,DC,DC39,39,5903,Gornja Brela,,2397.0,5040.0,ŽC6166,LC67134,Ž6166 - L67134,7.3,NAB,43.407834,16.908954,ŽC6166,LC67134,7.3,Gornja Brela
2024,DC,DC41,41,1401,Gola,,1139.0,1163.0,ŽC2116,ŽC2091,Ž2116 - Ž2091,12.5,PAB,,,,,,
2024,DC,DC41,41,1310,Peteranec,,2870.0,2940.0,ŽC2114,ŽC2113,Ž2114 - Ž2113,1.3,NAB,46.19863,16.90018,ŽC2114,ŽC2113,1.3,Peteranec
2024,DC,DC41,41,1311,Sokolovac,,5583.0,5487.0,LC26073,ŽC2181,L26073 - Ž2181,0.5,NAB,46.107794,16.709016,LC26073,ŽC2181,0.5,Sokolovac
2024,DC,DC42,42,3041,Gomirje,,1133.0,1320.0,A6,LC58038,A6 - L58038,0.9,NAB,45.3628,15.09242,A6,LC58038,0.9,Gomirje
2024,DC,DC42,42,3010,Sveti Petar,,1306.0,1393.0,LC34099,ŽC3254,L34099 - Ž3254,3.9,PAB,,,,,,
2024,DC,DC42,42,3043,Oštarije,,6010.0,6284.0,A1,LC34134,A1 - L34134,1.2,PAB,,,,,,
2024,DC,DC42,42,4306,Saborsko - istok,istok,786.0,1379.0,ŽC5113,DC429,Ž5113 - D429,24.1,PAB,,,,,,
2024,DC,DC42,42,4314,Čatrnja,,5514.0,9677.0,LC34161,DC1,L34161 - D1,2.0,NAB,44.96047,15.64233,LC34161,DC1,2.0,Čatrnja
2024,DC,DC43,43,1314,Hampovica,,3505.0,3624.0,ŽC2183,ŽC2236,Ž2183 - Ž2236,9.8,NAB,46.015649,16.948873,ŽC2183,ŽC2236,9.8,Hampovica
2024,DC,DC43,43,2140,Kupinovac,,5416.0,5544.0,ŽC3025,DC28,Ž3025 - D28,2.7,NAB,45.94422,16.88988,ŽC3025,DC28,2.7,Kupinovac
2024,DC,DC43,43,2105,Markovac,,2645.0,2891.0,DC28,DC548,D28 - D548,2.9,PAB,,,,,,
2024,DC,DC43,43,2145,Bjelovar,,9877.0,9727.0,DC548,DC544,D548 - D544,0.7,NAB,45.88257,16.81753,DC548,DC544,0.7,Bjelovar
2024,DC,DC43,43,2108,Narta - sjever,sjever,4592.0,4395.0,DC544,ŽC3084,D544 - Ž3084,5.9,NAB,45.8407,16.82257,DC544,ŽC3084,5.9,Narta - sjever
2024,DC,DC43,43,2152,Čazma - sjever,sjever,4189.0,4029.0,LC37054,DC26,L37054 - D26,3.8,NAB,45.75432,16.62405,LC37054,DC26,3.8,Čazma - sjever
2024,DC,DC43,43,2015,Caginec,,8396.0,8044.0,ŽC3124,ŽC3074,Ž3124 - Ž3074,1.9,NAB,45.71278,16.44982,ŽC3124,ŽC3074,1.9,Caginec
2024,DC,DC44,44,2750,Ponte Porton,,1425.0,2326.0,LC50043,DC200,L50043 - D200,9.4,PAB,,,,,,
2024,DC,DC44,44,2706,Fontana,,3264.0,4167.0,LC50029,ŽC5013,L50029 - Ž5013,2.9,NAB,45.40508,13.95193,LC50029,ŽC5013,2.9,Fontana
2024,DC,DC44,44,2806,Lupoglav - sjever,sjever,4039.0,5933.0,LC50080,ŽC5014,L50080 - Ž5014,3.4,NAB,45.357962,14.101638,LC50080,ŽC5014,3.4,Lupoglav - sjever
2024,DC,DC45,45,2207,Veliki Zdenci,,1648.0,1865.0,DC28,ŽC3136,D28 - Ž3136,4.3,NAB,45.649075,17.076136,DC28,ŽC3136,4.3,Veliki Zdenci
2024,DC,DC45,45,2209,Hercegovac,,2273.0,2292.0,ŽC3133,ŽC3135,Ž3133 - Ž3135,2.0,PAB,,,,,,
2024,DC,DC45,45,2128,Garešnica,,5551.0,5488.0,DC26,DC26,D26 - D26,2.8,PAB,,,,,,
2024,DC,DC45,45,2115,Kapelica,,3260.0,3499.0,LC37138,ŽC3164,L37138 - Ž3164,11.8,NAB,45.574551,16.890605,LC37138,ŽC3164,11.8,Kapelica
2024,DC,DC45,45,3321,Kutina - sjever,sjever,6084.0,6189.0,ŽC3163,LC33070,Ž3163 - L33070,2.3,NAB,45.49182,16.78217,ŽC3163,LC33070,2.3,Kutina - sjever
2024,DC,DC46,46,3708,Stari Mikanovci,,,,ŽC4133,ŽC4166,Ž4133 - Ž4166,4.7,NAB,45.288269,18.568903,ŽC4133,ŽC4166,4.7,Stari Mikanovci
2024,DC,DC46,46,3722,Vinkovci obilaznica,,5036.0,4234.0,DC518,DC55,D518 - D55,6.8,NAB,45.266537,18.805874,DC518,DC55,6.8,Vinkovci obilaznica
2024,DC,DC46,46,3711,Srijemske Laze,,3744.0,4007.0,ŽC4150,LC46027,Ž4150 - L46027,2.8,NAB,45.231274,18.930889,ŽC4150,LC46027,2.8,Srijemske Laze
2024,DC,DC46,46,3712,Orolik,,2658.0,3192.0,DC57,DC57,D57 - D57,3.6,PAB,,,,,,
2024,DC,DC46,46,3804,Ilača - zapad,zapad,2490.0,3629.0,ŽC4197,LC46033,Ž4197 - L46033,2.3,PAB,,,,,,
2024,DC,DC46,46,3810,Tovarnik,,2041.0,2948.0,ŽC4233,GP,Ž4233 - GP,2.1,NAB,45.160412,19.164485,ŽC4233,GP,2.1,Tovarnik
2024,DC,DC47,47,3402,Jagma,,916.0,887.0,ŽC4236,ŽC4112,Ž4236 - Ž4112,2.0,PAB,,,,,,
2024,DC,DC47,47,3306,Bročice,,3155.0,3961.0,A3,ŽC3250,A3 - Ž3250,3.3,NAB,45.305844,16.949369,A3,ŽC3250,3.3,Bročice
2024,DC,DC47,47,3308,Slabinja,,1082.0,1278.0,LC33177,ŽC3264,L33177 - Ž3264,13.6,PAB,,,,,,
2024,DC,DC47,47,3207,Hrv. Kostajnica - zapad,zapad,964.0,1297.0,DC30,LC33165,D30 - L33165,6.6,PAB,,,,,,
2024,DC,DC48,48,2712,Tinjan,,4734.0,5896.0,LC50190,LC50099,L50190 - L50099,1.1,PAB,,,,,,
2024,DC,DC49,49,3509,Batrina - sjever,sjever,1449.0,1622.0,ŽC4185,ŽC4158,Ž4185 - Ž4158,4.9,PAB,,,,,,
2024,DC,DC49,49,3531,Batrina - istok,istok,3477.0,3574.0,ŽC4158,ŽC4244,Ž4158 - Ž4244,2.2,NAB,45.17388,17.6803,ŽC4158,ŽC4244,2.2,Batrina - istok
2024,DC,DC50,50,4202,Brlog,,1756.0,2815.0,LC59016,ŽC5127,L59016 - Ž5127,2.9,PAB,,,,,,
2024,DC,DC50,50,4203,Otočac (Brlog),,3282.0,4556.0,A1,ŽC5140,A1 - Ž5140,4.0,NAB,44.876752,15.204911,A1,ŽC5140,4.0,Otočac (Brlog)
2024,DC,DC50,50,4205,Ličko Lešće,,1883.0,2243.0,ŽC5144,ŽC5147,Ž5144 - Ž5147,2.3,NAB,44.802925,15.326257,ŽC5144,ŽC5147,2.3,Ličko Lešće
