cesta,counter_id,naziv,pocetak,kraj,v_max_dop,v_avg_smjer1,v_avg_smjer2,v85_smjer1,v85_smjer2,year,v_avg,v85_avg
DC3,2842,Orehovica,A6,D8,90,59.0,59.0,65.0,67.0,2023,59.0,66.0
DC5,2215,Virovitica obilaznica sjever,D2,D2,90,101.0,104.0,120.0,124.0,2023,102.5,122.0
DC5,2205,Grubišno Polje,Ž3094,Ž3139,50,54.0,49.0,65.0,59.0,2023,51.5,62.0
DC5,2206,Končanica - zapad,L37118,Ž3138,50,68.0,70.0,78.0,82.0,2023,69.0,80.0
DC5,2230,Doljani,Ž3170,Ž3172,50,51.0,58.0,56.0,67.0,2023,54.5,61.5
DC5,2213,Badljevina,Ž3272,L41002,50,50.0,55.0,58.0,64.0,2023,52.5,61.0
DC5,3411,Filipovac,L41014,D47,70,56.0,61.0,63.0,71.0,2023,58.5,67.0
DC5,3406,Cage,L42001,Ž3252,70,76.0,77.0,88.0,90.0,2023,76.5,89.0
DC5,3412,Okučani,Ž4241,Ž4158,50,60.0,59.0,69.0,68.0,2023,59.5,68.5
DC5,3410,Stara Gradiška,Ž4226,Ž4227,90,65.0,74.0,78.0,88.0,2023,69.5,83.0
DC6,1806,Jurovski Brod,D228,L34005,60,59.0,60.0,67.0,69.0,2023,59.5,68.0
DC6,3102,Gvozd - zapad,L33075,Ž3186,80,68.0,69.0,81.0,82.0,2023,68.5,81.5
DC7,2501,Duboševica,GP,Ž4011,90,85.0,89.0,100.0,106.0,2023,87.0,103.0
DC7,2503,Karanac (Beli Manastir),D517,D212,70,78.0,78.0,90.0,90.0,2023,78.0,90.0
DC7,2512,Čepin,D2,D4247,90,99.0,101.0,112.0,116.0,2023,100.0,114.0
DC7,3705,Vuka,Ž4107,L44107,50,86.0,91.0,100.0,106.0,2023,88.5,103.0
DC7,3634,Đakovo obilaznica,D515,A5,60,74.0,80.0,88.0,92.0,2023,77.0,90.0
DC7,3606,Vrpolje,L44138,Ž4202,50,59.0,58.0,69.0,67.0,2023,58.5,68.0
DC7,3615,Sikirevci - jug,Ž4220,L42049,50,67.0,71.0,78.0,84.0,2023,69.0,81.0
DC8,2801,Pasjak,L58011,A7,80,75.0,74.0,86.0,86.0,2023,74.5,86.0
DC8,2804,Mučići,Ž5016,L58015,50,60.0,65.0,68.0,74.0,2023,62.5,71.0
DC8,2929,Sibinj Krmpotski,Ž5109,L59001,90,82.0,79.0,97.0,92.0,2023,80.5,94.5
DC8,4105,Vlaka,L59028,D405,50,72.0,72.0,82.0,82.0,2023,72.0,82.0
DC8,4207,Karlobag,D25,L63025,40,50.0,49.0,57.0,57.0,2023,49.5,57.0
DC8,4802,Starigrad (Paklenica),L63153,Ž6008,50,43.0,45.0,53.0,54.0,2023,44.0,53.5
DC8,4810,Murvica,Ž6011,D306,50,55.0,54.0,62.0,62.0,2023,54.5,62.0
DC8,4825,Bibinje,D424,Ž6039,50/70,68.0,64.0,82.0,72.0,2023,66.0,77.0
DC8,5305,Pirovac,Ž6068,D59,90,75.0,82.0,84.0,92.0,2023,78.5,88.0
DC8,5335,Vodice obilaznica,Ž6086,D27,60,74.0,73.0,82.0,82.0,2023,73.5,82.0
DC8,5336,Ražine D58,Ražinska,Ul.,50,70.0,66.0,80.0,75.0,2023,68.0,77.5
DC8,5309,Grebaštica,Jasenovo,L65075,90,62.0,66.0,69.0,73.0,2023,64.0,71.0
DC8,5325,Primošten - jug,L65075,L65077,60,75.0,77.0,90.0,92.0,2023,76.0,91.0
DC8,5407,Marina,L65078,Ž6130,50,65.0,68.0,77.0,80.0,2023,66.5,78.5
DC8,5438,Plano (smjer Split),D315,D409,70,73.0,82.0,86.0,93.0,2023,77.5,89.5
DC8,5438,Plano (smjer Trogir),D409,D315,70,74.0,79.0,88.0,90.0,2023,76.5,89.0
DC8,5422,Stobreč (smjer Omiš),D410,Ž6143,70,64.0,77.0,75.0,86.0,2023,70.5,80.5
DC8,5422,Stobreč (smjer Split),Ž6143,D410,70,70.0,79.0,80.0,88.0,2023,74.5,84.0
DC8,5902,Jesenice,Ž6162,L67112,50,54.0,56.0,61.0,63.0,2023,55.0,62.0
DC8,5916,Omiš - zapad,L67120,D70,50,29.0,32.0,37.0,39.0,2023,30.5,38.0
DC8,5909,Pisak,Ž6167,L67136,70,73.0,76.0,82.0,86.0,2023,74.5,84.0
DC8,5910,Brela,D39,L67144,50,59.0,66.0,67.0,73.0,2023,62.5,70.0
DC8,5926,Baško Polje,D76,L67179,80,66.0,68.0,75.0,77.0,2023,67.0,76.0
DC8,6510,Pelješki most,D236,L69030,60,85.0,82.0,95.0,90.0,2023,83.5,92.5
DC8,6511,Prapratno,D414,D416,90,95.0,101.0,109.0,116.0,2023,98.0,112.5
