cesta,counter_id,naziv,pocetak,kraj,v_max_dop,v_avg_smjer1,v_avg_smjer2,v85_smjer1,v85_smjer2,year,v_avg,v85_avg
DC1,1101,Macelj,W’’@?,D207,60,77.0,83.0,88.0,95.0,2021,80.0,91.5
DC1,1104,"X(cid:5)(cid:4)""(cid:3)(cid:19)(cid:9)!",D207,D206,60,79.0,80.0,92.0,92.0,2021,79.5,92.0
DC1,1122,Y(cid:15)(cid:9)(cid:22)(cid:7),D35,W’)@?,50,63.0,66.0,72.0,75.0,2021,64.5,73.5
DC1,1146,&(cid:15)(cid:9)(cid:8)(cid:7)(cid:18)9(cid:4)(cid:7)(cid:28)(cid:18)(cid:17)(cid:3)(cid:6)(cid:4)(cid:9)(cid:8)(cid:11)(cid:9),W’)@?,W’)[@,50,61.0,64.0,71.0,75.0,2021,62.5,73.0
DC1,1927,;(cid:9)(cid:10)(cid:7)(cid:22)(cid:20)(cid:18)(cid:27)(cid:4)#(cid:20)(cid:15)(cid:7)(cid:16)(cid:31)(cid:9),D307,W’’)5,90/60,81.0,82.0,92.0,92.0,2021,81.5,92.0
DC1,1937,Pojatno,W\(\],A2,60,84.0,86.0,95.0,95.0,2021,85.0,95.0
DC1,1935,Gornji Stupnik,L31102,W\(]),50,71.0,76.0,82.0,88.0,2021,73.5,85.0
DC1,1929,9(cid:10)(cid:7)(cid:19)(cid:6)(cid:3)(cid:18)&(cid:9)(cid:10)(cid:3),W\)(],L31143,50,64.0,65.0,72.0,75.0,2021,64.5,73.5
DC1,1928,Izimje,W\)(’,L31136,50,70.0,70.0,80.0,82.0,2021,70.0,81.0
DC1,1954,Lug - jug,W\)Q],D228,50,65.0,69.0,75.0,78.0,2021,67.0,76.5
DC1,3114,Karlovac (smjer Slunj),D228,D3,70,66.0,73.0,77.0,84.0,2021,69.5,80.5
DC1,3114,Karlovac (smjer Jastrebarsko),D3,D228,70,71.0,61.0,86.0,73.0,2021,66.0,79.5
DC1,3101,(cid:27)(cid:5)(cid:16)(cid:7)(cid:10)(cid:20)(cid:15)(cid:7)(cid:31),W\)??,L34082,70,72.0,77.0,80.0,88.0,2021,74.5,84.0
DC1,3105,Blagaj,L34120,L34140,80,76.0,83.0,86.0,95.0,2021,79.5,90.5
DC1,3106,Slunj,L34140,W\’@?,60,69.0,70.0,78.0,82.0,2021,69.5,80.0
DC1,4313,Sadilovac,L34160,L59136,40,78.0,71.0,90.0,84.0,2021,74.5,87.0
DC1,4308,Prijeboj - sjeveroistok,L59027,W@’(),80,96.0,102.0,112.0,120.0,2021,99.0,116.0
DC1,4309,Korenica,D52,L59045,70,68.0,74.0,78.0,82.0,2021,71.0,80.0
DC1,4304,^(cid:20)(cid:16)(cid:3)(cid:19),L59064,W@)[@,80,83.0,92.0,95.0,106.0,2021,87.5,100.5
DC1,4901,_(cid:5)(cid:8)(cid:7)(cid:10)(cid:7)(cid:31)(cid:18)+%(cid:21)(cid:25)(cid:7)(cid:19)(cid:3)*,L59101,L59117,80,93.0,96.0,106.0,112.0,2021,94.5,109.0
DC1,4907,‘(cid:4)(cid:3)(cid:6)(cid:3)!(cid:18)a(cid:18)(cid:7)(cid:23)(cid:8)(cid:20)(cid:22),D27,L63033,50,70.0,74.0,80.0,88.0,2021,72.0,84.0
DC1,5002,",(cid:3)$(cid:9)(cid:19)(cid:9)",L65008,D59,90,90.0,89.0,106.0,104.0,2021,89.5,105.0
DC1,5010,&(cid:8)(cid:3)(cid:4)(cid:3)(cid:18)&(cid:8)(cid:4)(cid:3)(cid:28)(cid:3),D59,L65004,90,91.0,98.0,109.0,116.0,2021,94.5,112.5
DC1,5418,Kijevo,W](@?,W](?\,60,80.0,78.0,95.0,92.0,2021,79.0,93.5
DC1,5524,Sinj,W]))?,D219,50,70.0,74.0,80.0,84.0,2021,72.0,82.0
DC1,5504,Brnaze,D60,L67041,50,63.0,61.0,73.0,69.0,2021,62.0,71.0
DC1,5526,Dicmo,W]))],W])’(,60,69.0,72.0,78.0,82.0,2021,70.5,80.0
DC1,5523,Dugopolje (smjer Split),A1,D56,90,88.0,112.0,103.0,125.0,2021,100.0,114.0
DC1,5523,Dugopolje (smjer A1),D56,A1,90,97.0,107.0,112.0,120.0,2021,102.0,116.0
DC1,5441,"b(cid:4)(cid:3)(cid:6)(cid:9)(cid:15)(cid:3)!(cid:18)+(cid:23)""(cid:11)(cid:9)(cid:4)(cid:18)&(cid:24)(cid:10)(cid:7)(cid:8)*",D56,D8,50,39.0,40.0,61.0,61.0,2021,39.5,61.0
DC1,5441,"b(cid:4)(cid:3)(cid:6)(cid:9)(cid:15)(cid:3)!(cid:18)+(cid:23)""(cid:11)(cid:9)(cid:4)(cid:18)b(cid:5)#(cid:20)(cid:24)(cid:20)(cid:10)(cid:11)(cid:9)*",D8,D56,80,74.0,82.0,84.0,90.0,2021,78.0,87.0
DC2,1203,b(cid:5)(cid:25)(cid:4)(cid:3)(cid:15)(cid:3)(cid:18)9(cid:4)(cid:7)(cid:28)(cid:20)(cid:15)(cid:10)(cid:11)(cid:3)(cid:19)(cid:23)(cid:22)(cid:3),GP,L25001,50,65.0,64.0,75.0,73.0,2021,64.5,74.0
DC2,1208,Majerje,W’(Q],W’(\5,50,60.0,61.0,67.0,68.0,2021,60.5,67.5
DC2,1235,4(cid:4)(cid:3)(cid:16)(cid:31)(cid:7)!(cid:3),L25194,D35,80,91.0,94.0,106.0,109.0,2021,92.5,107.5
DC2,1266,",(cid:20)(cid:10)(cid:11)(cid:3)(cid:19)(cid:3)(cid:18)/(cid:7)(cid:16)(cid:22)(cid:5)(cid:24)(cid:9)(cid:6)(cid:22)(cid:3)",W’(@(,D228,80,89.0,89.0,100.0,100.0,2021,89.0,100.0
DC2,1210,";(cid:3)(cid:4)(cid:3)(cid:28)(cid:21)(cid:7)(cid:19)(cid:18)a(cid:18)(cid:11)(cid:5)#(cid:18)+(cid:23)""(cid:11)(cid:9)(cid:4)(cid:18)(cid:23)(cid:11)(cid:9)(cid:15)(cid:9)(cid:4)*",D528,D3,70,77.0,79.0,88.0,90.0,2021,78.0,89.0
DC2,1210,";(cid:3)(cid:4)(cid:3)(cid:28)(cid:21)(cid:7)(cid:19)(cid:18)a(cid:18)(cid:11)(cid:5)#(cid:18)+(cid:23)""(cid:11)(cid:9)(cid:4)(cid:18)(cid:11)(cid:5)#*",D3,D528,90,79.0,83.0,90.0,92.0,2021,81.0,91.0
DC2,1244,(cid:27)(cid:4)(cid:19)(cid:20)(cid:15)(cid:9)!(cid:18)/(cid:3)(cid:4)(cid:8)(cid:20)(cid:10)(cid:20)(cid:15)(cid:9)(cid:6)(cid:22)(cid:7),W’(@\,L25082,90,83.0,85.0,95.0,100.0,2021,84.0,97.5
DC2,1307,Ludbreg - zapad,L25094,W’(5@,60,66.0,68.0,73.0,78.0,2021,67.0,75.5
DC2,1323,Koprivnica - jug,D41,D41,70,70.0,71.0,80.0,82.0,2021,70.5,81.0
DC2,1312,",(cid:10)(cid:3)(cid:15)(cid:16)(cid:7)(cid:19)(cid:3)!",L26034,L26100,60,69.0,71.0,80.0,84.0,2021,70.0,82.0
DC2,1403,X(cid:5)(cid:4)$(cid:9)(cid:15)(cid:3)!,W’’Q5,L26112,60,68.0,65.0,78.0,75.0,2021,66.5,76.5
DC2,2201,"9(cid:10)(cid:20)(cid:16)(cid:8)(cid:3)(cid:4)(cid:18),(cid:20)(cid:21)(cid:4)(cid:3)(cid:15)(cid:23)(cid:22)(cid:7)",W’)?@,L40001,50/70,71.0,71.0,84.0,82.0,2021,71.0,83.0
DC2,2217,",(cid:7)(cid:8)(cid:20)""(cid:3)(cid:6)(cid:3)(cid:18)a(cid:18)(cid:7)(cid:23)(cid:8)(cid:20)(cid:22)",WQ((’,L40005,70,62.0,62.0,71.0,72.0,2021,62.0,71.5
DC2,2203,Virovitica,L40020,WQ(’Q,50,69.0,67.0,78.0,77.0,2021,68.0,77.5
DC2,2302,Cabuna,L40034,L40036,70,72.0,71.0,82.0,84.0,2021,71.5,83.0
DC2,2307,Slatina obilaznica,WQ(’@,D34,90,97.0,100.0,116.0,120.0,2021,98.5,118.0
DC2,2305,Y(cid:3)(cid:6)(cid:7)(cid:19)!(cid:7)(cid:18)a(cid:18)(cid:11)(cid:5)#,WQ(]\,D314,70,86.0,85.0,100.0,100.0,2021,85.5,100.0
DC2,3635,Martin,D53,WQ(55,60,70.0,69.0,82.0,80.0,2021,69.5,81.0
DC2,2407,(cid:2)(cid:3)(cid:16)(cid:7)!(cid:9),L44044,L44045,50,75.0,83.0,88.0,100.0,2021,79.0,94.0
DC2,2508,":(cid:23)(cid:7)(cid:11)(cid:9)(cid:22)(cid:18)(cid:11)(cid:5)(cid:28)(cid:19)(cid:3)(cid:18)(cid:20)(cid:25)(cid:7)(cid:10)(cid:3)(cid:14)(cid:19)(cid:7)!(cid:3)(cid:18)+(cid:23)""(cid:11)(cid:9)(cid:4)(cid:18)(cid:7)(cid:23)(cid:8)(cid:20)(cid:22)*",D7,_(cid:3)(cid:19)(cid:21)(cid:7)(cid:31)(cid:3),90,98.0,103.0,110.0,116.0,2021,100.5,113.0
DC2,2508,":(cid:23)(cid:7)(cid:11)(cid:9)(cid:22)(cid:18)(cid:11)(cid:5)(cid:28)(cid:19)(cid:3)(cid:18)(cid:20)(cid:25)(cid:7)(cid:10)(cid:3)(cid:14)(cid:19)(cid:7)!(cid:3)(cid:18)+(cid:23)""(cid:11)(cid:9)(cid:4)(cid:18)(cid:14)(cid:3)(cid:24)(cid:3)(cid:21)*",_(cid:3)(cid:19)(cid:21)(cid:7)(cid:31)(cid:3),D7,90,94.0,106.0,109.0,116.0,2021,100.0,112.5
DC2,3701,Klisa aerodrom - sjever,L44115,D418,60,88.0,88.0,103.0,106.0,2021,88.0,104.5
DC2,3723,Vukovar (smjer Sotin),D55,D57,50,70.0,72.0,82.0,82.0,2021,71.0,82.0
DC2,3723,Vukovar (smjer Klisa),D57,D55,50,68.0,72.0,77.0,82.0,2021,70.0,79.5
DC2,3801,Sotin,WQ)@’,L46013,50,59.0,62.0,68.0,72.0,2021,60.5,70.0
DC3,1234,Y(cid:3)(cid:22)(cid:20)(cid:15)(cid:9)!,D20,W’(\),80,76.0,77.0,88.0,88.0,2021,76.5,88.0
DC3,1205,",(cid:5)(cid:16)(cid:31)(cid:7)(cid:19)(cid:9)",D208,L20048,90,82.0,82.0,95.0,95.0,2021,82.0,95.0
DC3,1221,Novi Marof,L25131,W’)\],50,69.0,69.0,77.0,78.0,2021,69.0,77.5
DC3,1245,Paka,W’)\Q,W’)5),90,77.0,80.0,88.0,90.0,2021,78.5,89.0
DC3,2003,/(cid:10)(cid:3)(cid:28)(cid:9)(cid:15)(cid:18)b(cid:20)(cid:10),L31036,W\()],70,73.0,72.0,82.0,82.0,2021,72.5,82.0
DC3,3003,Duga Resa,W\)?),D23,50,58.0,61.0,67.0,69.0,2021,59.5,68.0
DC3,3032,c(cid:7)(cid:16)(cid:19)(cid:7)!(cid:3),L34065,L34064,60,74.0,74.0,84.0,84.0,2021,74.0,84.0
DC3,3005,Vrbovsko,L58032,L58037,60,71.0,69.0,82.0,78.0,2021,70.0,80.0
DC3,2905,Delnice,D203,D32,50,54.0,56.0,63.0,64.0,2021,55.0,63.5
DC5,2214,Virovitica obilaznica sjever,WQ’Q[,D2,90,103.0,105.0,124.0,128.0,2021,104.0,126.0
DC5,2215,Virovitica obilaznica jug,D2,WQ’@),90,98.0,103.0,116.0,124.0,2021,100.5,120.0
DC5,2205,"‘(cid:4)(cid:5)(cid:25)(cid:7)(cid:16)(cid:19)(cid:20)(cid:18),(cid:20)(cid:10)(cid:11)(cid:9)",W\([Q,W\)\[,50,55.0,50.0,65.0,59.0,2021,52.5,62.0
DC5,2206,9(cid:20)(cid:19)(cid:6)(cid:3)(cid:19)(cid:7)!(cid:3)(cid:18)a(cid:18)(cid:14)(cid:3)(cid:24)(cid:3)(cid:21),L37118,W\)\?,80,69.0,71.0,78.0,82.0,2021,70.0,80.0
DC5,2230,Doljani,W\’[),W\)5’,50,50.0,57.0,56.0,65.0,2021,53.5,60.5
DC5,2213,Badljevina,W\’5’,L41002,50,51.0,55.0,58.0,64.0,2021,53.0,61.0
DC5,3411,Filipovac,L41014,D47,70,63.0,64.0,72.0,75.0,2021,63.5,73.5
DC5,3406,Cage,L42001,W\’@’,70,77.0,78.0,90.0,92.0,2021,77.5,91.0
DC5,3412,:(cid:22)(cid:5)(cid:6)(cid:3)(cid:19)(cid:7),WQ’Q),WQ)@?,50,61.0,60.0,71.0,69.0,2021,60.5,70.0
DC5,3410,&(cid:8)(cid:3)(cid:4)(cid:3)(cid:18)‘(cid:4)(cid:3)(cid:21)(cid:7)(cid:16)(cid:22)(cid:3),WQ’’],WQ’’5,90,67.0,71.0,82.0,86.0,2021,69.0,84.0
DC6,1806,Jurovski Brod,D228,L34005,60,61.0,62.0,69.0,72.0,2021,61.5,70.5
DC6,3102,Gvozd - zapad,L33075,W\)?],50,69.0,68.0,82.0,80.0,2021,68.5,81.0
DC7,2501,b(cid:5)(cid:25)(cid:20)(cid:16)(cid:9)(cid:15)(cid:7)!(cid:3),GP,WQ()),90,82.0,88.0,100.0,109.0,2021,85.0,104.5
DC7,2503,Karanac (Beli Manastir),D517,D212,70,77.0,78.0,90.0,90.0,2021,77.5,90.0
DC7,2513,Osijek sj. obilaznica,WQ’@5,WQ(]?,90,78.0,74.0,90.0,86.0,2021,76.0,88.0
DC7,2512,Y(cid:9)(cid:24)(cid:7)(cid:19),D2,D4247,90,97.0,98.0,109.0,112.0,2021,97.5,110.5
DC7,3705,Vuka,WQ)(5,L44107,50,86.0,91.0,100.0,106.0,2021,88.5,103.0
DC7,3634,X(cid:3)(cid:22)(cid:20)(cid:15)(cid:20)(cid:18)(cid:20)(cid:25)(cid:7)(cid:10)(cid:3)(cid:14)(cid:19)(cid:7)!(cid:3),D515,A5,60,75.0,82.0,90.0,95.0,2021,78.5,92.5
DC7,3606,Vrpolje,L44138,WQ’(’,40,60.0,58.0,69.0,67.0,2021,59.0,68.0
DC7,3615,Sikirevci - jug,WQ’’(,L42049,50,67.0,72.0,80.0,86.0,2021,69.5,83.0
DC8,2801,Pasjak,L58011,A7,80,77.0,77.0,90.0,90.0,2021,77.0,90.0
DC8,2804,_(cid:5)(cid:6)(cid:7)(cid:31)(cid:7),W@()],L58015,50,61.0,69.0,69.0,78.0,2021,65.0,73.5
DC8,2917,Kostrena,L58054,D40,90,68.0,66.0,78.0,75.0,2021,67.0,76.5
DC8,2923,Crikvenica,W@([),W@([),60/80,68.0,72.0,78.0,80.0,2021,70.0,79.0
DC8,2929,Sibinj Krmpotski,W@)([,L59001,90,83.0,81.0,97.0,93.0,2021,82.0,95.0
DC8,4207,Karlobag,D25,L63025,40,50.0,50.0,58.0,58.0,2021,50.0,58.0
DC8,4810,Murvica,W]()),L63167,70,58.0,56.0,65.0,64.0,2021,57.0,64.5
DC8,4825,Bibinje,D424,W](\[,50/70,65.0,63.0,78.0,71.0,2021,64.0,74.5
DC8,5305,Pirovac,W](]?,D59,90,76.0,84.0,86.0,95.0,2021,80.0,90.5
DC8,5335,Vodice obilaznica,W](?],W]’?],60,75.0,74.0,84.0,82.0,2021,74.5,83.0
DC8,5308,d(cid:7)(cid:25)(cid:9)(cid:19)(cid:7)(cid:22),W](??,L65037,50,56.0,62.0,67.0,72.0,2021,59.0,69.5
DC8,5336,3(cid:3)(cid:28)(cid:7)(cid:19)(cid:9),D58,L65075,60,75.0,67.0,86.0,77.0,2021,71.0,81.5
DC8,5309,‘(cid:4)(cid:9)(cid:25)(cid:3)(cid:16)(cid:8)(cid:7)!(cid:3),D58,W])’5,90,62.0,67.0,69.0,75.0,2021,64.5,72.0
DC8,5325,",(cid:4)(cid:7)""(cid:20)(cid:16)(cid:8)(cid:9)(cid:19)(cid:18)a(cid:18)(cid:11)(cid:5)#",L65075,L65077,60,78.0,79.0,92.0,95.0,2021,78.5,93.5
DC8,5407,Marina,L65078,W])\(,50,67.0,69.0,80.0,82.0,2021,68.0,81.0
DC8,5438,Plano (smjer Split),D315,D409,80,76.0,85.0,88.0,97.0,2021,80.5,92.5
DC8,5438,Plano (smjer Trogir),D409,D315,80,74.0,75.0,88.0,91.0,2021,74.5,89.5
DC8,5423,Solin (smjer Split),W])\5,W])\[,60,66.0,70.0,78.0,82.0,2021,68.0,80.0
DC8,5423,Solin (smjer Trogir),W])\[,W])\5,100,85.0,91.0,97.0,100.0,2021,88.0,98.5
DC8,5422,"&(cid:8)(cid:20)(cid:25)(cid:4)(cid:9)(cid:6)(cid:18)+(cid:23)""(cid:11)(cid:9)(cid:4)(cid:18):""(cid:7)(cid:16)*",D410,W])Q\,70,65.0,76.0,75.0,84.0,2021,70.5,79.5
DC8,5422,"&(cid:8)(cid:20)(cid:25)(cid:4)(cid:9)(cid:6)(cid:18)+(cid:23)""(cid:11)(cid:9)(cid:4)(cid:18)&(cid:24)(cid:10)(cid:7)(cid:8)*",W])Q\,D410,70,70.0,78.0,80.0,86.0,2021,74.0,83.0
DC8,5902,Jesenice,W])]’,L67112,50,56.0,57.0,62.0,64.0,2021,56.5,63.0
DC8,5916,":""(cid:7)(cid:16)(cid:18)a(cid:18)(cid:14)(cid:3)(cid:24)(cid:3)(cid:21)",L67120,D70,50,32.0,34.0,40.0,42.0,2021,33.0,41.0
DC8,5910,Brela,D39,L67144,50,60.0,67.0,68.0,75.0,2021,63.5,71.5
DC8,5926,"/(cid:3)(cid:16)(cid:22)(cid:20)(cid:18),(cid:20)(cid:10)(cid:11)(cid:9)",D76,L67179,80,73.0,82.0,86.0,106.0,2021,77.5,96.0
DC8,6004,W(cid:7)(cid:15)(cid:20)#(cid:20)(cid:16)(cid:31)(cid:9),L67197,D412,60,68.0,71.0,75.0,80.0,2021,69.5,77.5
DC8,6010,Rogotin,L69086,L69005,50,55.0,56.0,62.0,63.0,2021,55.5,62.5
DC8,6501,Klek,L69029,W]’5[,60,67.0,73.0,77.0,86.0,2021,70.0,81.5
DC8,6503,Zaton Doli,W]’’5,D414,90,81.0,84.0,92.0,97.0,2021,82.5,94.5
DC8,6601,Zaton,L69047,W]’@Q,60,60.0,62.0,68.0,71.0,2021,61.0,69.5
DC8,6608,Vidikovac,D420,D223,90,61.0,65.0,69.0,72.0,2021,63.0,70.5
DC8,6602,Kupari,L69050,W]’Q\,60,57.0,61.0,64.0,71.0,2021,59.0,67.5
DC8,6604,Gruda,L69055,W]’Q),70,65.0,65.0,77.0,77.0,2021,65.0,77.0
DC9,6104,Kula Norinska,L69013,L69012,90,83.0,82.0,97.0,95.0,2021,82.5,96.0
DC10,2008,Sveta Helena (smjer Sv. Helena),A4,D41,110,116.0,126.0,133.0,138.0,2021,121.0,135.5
DC10,2008,Sveta Helena (smjer Dubrava),D41,A4,110,115.0,125.0,133.0,138.0,2021,120.0,135.5
DC10,2030,Vrbovec obilaznica (smjer Dubrava),D41,W\(5[,100,112.0,126.0,128.0,139.0,2021,119.0,133.5
DC10,2030,Vrbovec obilaznica (smjer Sv. Helena),W\(5[,D41,100,112.0,119.0,128.0,133.0,2021,115.5,130.5
DC10,2143,"(cid:27)(cid:4)(cid:9)""(cid:20)(cid:15)(cid:3)(cid:6)(cid:22)(cid:7)(cid:18)(cid:24)(cid:20)(cid:8)(cid:20)(cid:22)(cid:18)+(cid:23)""(cid:11)(cid:9)(cid:4)(cid:18)9(cid:4)(cid:7)(cid:28)(cid:9)(cid:15)!(cid:7)*",D28,D22,100,116.0,125.0,133.0,144.0,2021,120.5,138.5
DC10,2143,"(cid:27)(cid:4)(cid:9)""(cid:20)(cid:15)(cid:3)(cid:6)(cid:22)(cid:7)(cid:18)(cid:24)(cid:20)(cid:8)(cid:20)(cid:22)(cid:18)+(cid:23)""(cid:11)(cid:9)(cid:4)(cid:18)9(cid:20)(cid:19)(cid:3)(cid:22)*",D22,D28,100,116.0,118.0,133.0,133.0,2021,117.0,133.0
DC12,2150,Haganj (smjer Zvonik),D10,D544,100,124.0,131.0,144.0,150.0,2021,127.5,147.0
DC12,2150,Haganj (smjer Fuka),D544,D10,100,114.0,127.0,133.0,150.0,2021,120.5,141.5
DC14,1143,Mokrice,D307,W’)[5,100,98.0,99.0,112.0,112.0,2021,98.5,112.0
DC14,1145,Bedekovcina,W’)[5,W’)[?,100,99.0,104.0,112.0,120.0,2021,101.5,116.0
DC20,1319,Ivanovec,W’(’’,A4,60,79.0,80.0,90.0,92.0,2021,79.5,91.0
DC20,1340,Prelog - istok,W’(’],L20040,70,77.0,77.0,90.0,88.0,2021,77.0,89.0
DC20,1324,Koprivnica - sjever,L26154,D2,90,77.0,81.0,90.0,95.0,2021,79.0,92.5
DC22,1233,_(cid:20)(cid:28)$(cid:9)(cid:19)(cid:9)!,D3,D24,80,79.0,80.0,90.0,92.0,2021,79.5,91.0
DC22,1268,Orehovec,W’)5],W’)55,50,54.0,57.0,63.0,68.0,2021,55.5,65.5
DC22,2125,Trema,L26069,W’’’?,90,84.0,82.0,100.0,100.0,2021,83.0,100.0
DC23,3008,/(cid:9)(cid:10)(cid:3)(cid:15)(cid:7)(cid:31)(cid:7),L34062,W\)5],60,69.0,69.0,80.0,80.0,2021,69.0,80.0
DC23,3014,Munjava,D42,L34137,60,61.0,58.0,72.0,69.0,2021,59.5,70.5
DC23,4101,Senj - istok,L59009,D8,50,55.0,58.0,63.0,68.0,2021,56.5,65.5
DC24,1230,9(cid:20)(cid:19)(cid:11)(cid:16)(cid:6)(cid:7)(cid:19)(cid:3),W’)5(,L22022,50,57.0,59.0,71.0,72.0,2021,58.0,71.5
DC24,1222,Novi Marof zapad,L25134,L25132,50,59.0,59.0,68.0,67.0,2021,59.0,67.5
DC24,1237,c(cid:11)(cid:5)(cid:25)(cid:9)(cid:16)(cid:31)(cid:7)!(cid:3),W’)\],L25150,90,73.0,71.0,84.0,82.0,2021,72.0,83.0
DC25,1269,;(cid:3)(cid:4)(cid:3)(cid:28)(cid:21)(cid:7)(cid:19)(cid:23)(cid:22)(cid:9)(cid:18)(cid:27)(cid:20)(cid:24)(cid:10)(cid:7)!(cid:9),D526,L25143,70,68.0,61.0,78.0,69.0,2021,64.5,73.5
DC25,4206,Budak,D50,D534,50,62.0,63.0,71.0,72.0,2021,62.5,71.5
DC25,4209,(cid:2)(cid:20)(cid:15)(cid:20)(cid:23)(cid:9)(cid:10)(cid:20)(cid:18)(cid:27)(cid:4)(cid:19)(cid:20)(cid:15)(cid:3)(cid:6)(cid:22)(cid:20),W@)]’,W@)]\,70,70.0,72.0,84.0,86.0,2021,71.0,85.0
DC26,2036,Konak,A12,L31069,50,58.0,65.0,69.0,75.0,2021,61.5,72.0
DC26,2218,Uljanik,L37145,L37142,70,77.0,80.0,90.0,92.0,2021,78.5,91.0
DC27,4912,(cid:17)(cid:3)(cid:8)(cid:20)(cid:19)(cid:18):(cid:25)(cid:4)(cid:20)(cid:15)(cid:3)(cid:6)(cid:22)(cid:7),W](’5,W](’?,70,68.0,62.0,78.0,72.0,2021,65.0,75.0
DC27,4915,Benkovac,W](Q?,L63123,90/60,89.0,86.0,106.0,100.0,2021,87.5,103.0
DC27,5303,‘(cid:3)(cid:31)(cid:9)(cid:10)(cid:9)(cid:14)(cid:7),D59,W](5),60,90.0,92.0,106.0,109.0,2021,91.0,107.5
DC28,2103,&(cid:15)(cid:9)(cid:8)(cid:7)(cid:18)(cid:13)(cid:15)(cid:3)(cid:19)(cid:18)W(cid:3)(cid:25)(cid:19)(cid:20),W\(Q),W’’’[,50,68.0,70.0,77.0,78.0,2021,69.0,77.5
DC28,2102,Predavac,W\(’’,D524,50,48.0,56.0,55.0,64.0,2021,52.0,59.5
DC28,2104,Bjelovarska obilaznica,W\(’’,D43,90/60,65.0,70.0,73.0,82.0,2021,67.5,77.5
DC28,2106,Prespa,W\(Q?,W\(?5,70,70.0,69.0,80.0,78.0,2021,69.5,79.0
DC29,1231,Zlatar Bistrica,D24,W’’(’,90,70.0,71.0,82.0,82.0,2021,70.5,82.0
DC29,2004,9(cid:3)(cid:16)(cid:7)(cid:19)(cid:3),L10004,W)((),70,75.0,76.0,88.0,88.0,2021,75.5,88.0
DC30,2019,Lekenik,L33006,W\’\(,50,65.0,65.0,73.0,73.0,2021,65.0,73.0
DC30,2020,W(cid:3)(cid:28)(cid:7)(cid:19)(cid:3),D36,W\)@],50,63.0,65.0,71.0,73.0,2021,64.0,72.0
DC30,3208,Brest Pokupski,W\’Q’,D37,50,59.0,62.0,67.0,69.0,2021,60.5,68.0
DC30,3311,Hrvatska Kostajnica,D224,L33159,50,42.0,41.0,47.0,46.0,2021,41.5,46.5
DC33,5001,Knin - sjever,L65009,W](?(,60,64.0,66.0,75.0,80.0,2021,65.0,77.5
DC33,5003,Knin - jug,D1,W](@],50,59.0,61.0,72.0,71.0,2021,60.0,71.5
DC33,5442,_(cid:20)(cid:23)(cid:9)(cid:31),D56,W]([Q,70,70.0,70.0,80.0,78.0,2021,70.0,79.0
DC33,5412,Pakovo Selo,W]([Q,L65083,70,100.0,102.0,116.0,120.0,2021,101.0,118.0
DC33,5322,b(cid:5)(cid:25)(cid:4)(cid:3)(cid:15)(cid:3)(cid:18)d(cid:7)(cid:25)(cid:9)(cid:19)(cid:23)(cid:22)(cid:3),W]([),D8,70,73.0,81.0,82.0,90.0,2021,77.0,86.0
DC34,2411,Podravska Moslavina,WQ(\(,WQ(\),90,94.0,97.0,112.0,112.0,2021,95.5,112.0
DC34,2419,Donji Miholjac obilaznica,WQ(\’,D53,90,85.0,85.0,97.0,97.0,2021,85.0,97.0
DC34,2405,d(cid:3)#,WQ(@),L44028,70,72.0,69.0,86.0,82.0,2021,70.5,84.0
DC35,1213,Greda,L25042,W’(]\,60,60.0,63.0,68.0,72.0,2021,61.5,70.0
DC35,1216,9(cid:3)(cid:19)(cid:7)(cid:28)(cid:3)(cid:18)(cid:14)(cid:3)(cid:24)(cid:3)(cid:21),W’(?Q,W’)(’,50/70,75.0,75.0,88.0,86.0,2021,75.0,87.0
DC35,1123,"‘(cid:20)(cid:4)(cid:19)(cid:11)(cid:3)(cid:18)d(cid:9)""(cid:19)(cid:7)!(cid:3)",W’)’@,W’)’’,50,68.0,73.0,78.0,86.0,2021,70.5,82.0
DC36,3201,"(cid:2)(cid:20)(cid:15)(cid:20)(cid:18)&(cid:9)(cid:10)(cid:20)(cid:18),(cid:3)(cid:10)(cid:3)(cid:19)(cid:11)(cid:9)(cid:6)(cid:22)(cid:20)",W\’(],L33055,60,61.0,62.0,68.0,70.0,2021,61.5,69.0
DC36,2127,",(cid:20)(cid:24)(cid:20)(cid:15)(cid:3)(cid:6)(cid:3)(cid:18)a(cid:18)(cid:14)(cid:3)(cid:24)(cid:3)(cid:21)",A3,W\)’Q,50,59.0,59.0,67.0,68.0,2021,59.0,67.5
DC37,3202,(cid:2)(cid:20)(cid:15)(cid:20)(cid:18)&(cid:9)(cid:10)(cid:7)(cid:16)(cid:8)(cid:9),D30,W\)[?,50,66.0,63.0,75.0,72.0,2021,64.5,73.5
DC38,3507,Pleternica - istok,L41078,L41063,50,68.0,65.0,82.0,77.0,2021,66.5,79.5
DC39,5908,Cista Provo - jug,L67137,W])5),80,92.0,90.0,106.0,106.0,2021,91.0,106.0
DC39,5903,Gornja Brela,W])]],L67134,60,69.0,70.0,77.0,80.0,2021,69.5,78.5
DC41,1311,Sokolovac,L26006,L26073,60,61.0,65.0,69.0,75.0,2021,63.0,72.0
DC42,4314,Y(cid:3)(cid:8)(cid:4)(cid:19)(cid:11)(cid:3),L34161,D1,60,71.0,74.0,82.0,84.0,2021,72.5,83.0
DC43,1314,Hampovica,W’)?\,W’’\],50,59.0,57.0,67.0,64.0,2021,58.0,65.5
