counter_id,category,oznaka_ceste,naziv,od,do,length_km,lat,lon,matched_oznaka_ceste,kategorija_full,seg_id,dist_m,match_method,confidence
5425,ZC,ŽC6133,Pantana,ŽC6291,DC126,1.3,43.522321,16.263668,ŽC6133,županijska cesta,6320,2.474505555634908,exact_road_name,high
5427,ZC,ŽC6130,Marina - sjever,LC67055,DC8,0.3,43.515564,16.108802,ŽC6130,županijska cesta,6315,1.2657373498107962,exact_road_name,high
5428,ZC,ŽC6115,Dugobabe,LC67061,ŽC6113,2.0,43.614968,16.404682,ŽC6115,županijska cesta,6291,2.841722099134357,exact_road_name,high
5429,LC,LC65050,Drniš - istok,LC65051,DC33,0.3,43.8604,16.15888,LC65050,lokalna cesta,6948,4.467046083143009,exact_road_name,high
5430,ZC,ŽC6296,Drniš - zapad,LC65027,ŽC6055,3.1,43.85705,16.1479,ŽC6296,županijska cesta,9148,7.708575242001393,exact_road_name,high
5431,ZC,ŽC6055,Oklaj,LC65014,DC6056,2.0,43.96048,16.07927,ŽC6055,županijska cesta,6178,8.203414837920478,exact_road_name,high
5432,ZC,ŽC6092,Radonić,G.A.P.,LC65049,1.8,43.77503,16.03707,ŽC6092,županijska cesta,6264,25.251905429384625,exact_road_name,high
5433,ZC,ŽC6098,Radošić,LC67057,LC67020,1.9,43.6047,16.32748,ŽC6098,županijska cesta,6277,2.746927843192921,exact_road_name,high
5434,LC,LC67020,Trolokve,ŽC6112,LC67056,5.8,43.63518,16.25042,LC67020,lokalna cesta,7037,10.374243168144133,exact_road_name,high
5442,DC,DC33,Moseć,DC56,ŽC6094,3.7,43.85117,16.15445,DC33,državna cesta,2949,3.2320222049396983,exact_road_name,high
5443,DC,DC126,Trogir,ŽC6133,ŽC6134,0.7,43.52182,16.26485,DC126,državna cesta,372,1.169508363717916,exact_road_name,high
5444,DC,DC409,Divulje,DC8,DC8,6.3,43.53737,16.3039,DC409,državna cesta,3710,0.2721451116240376,exact_road_name,high
5445,DC,DC126,Mastrinka,ŽC6134,ŽC6136,0.4,43.51582,16.26768,DC126,državna cesta,372,9.210820061555667,exact_road_name,high
5446,ZC,ŽC6253,Solin Širina,LC67065,DC8,1.0,43.53762,16.48833,ŽC6253,županijska cesta,6540,14.993920423906147,exact_road_name,high
5504,DC,DC1,Brnaze,DC60,LC67041,1.7,43.679316,16.649053,DC1,državna cesta,72,0.21301110450934788,exact_road_name,high
5506,DC,DC220,Kamensko,LC67104,GP,3.0,43.615668,16.959961,DC220,državna cesta,1289,5.987092890596451,exact_road_name,high
